2026-06-28 16:05:00,BUY,59980.0,59847.197560237226,60312.006099406935,0
2026-06-29 00:40:00,BUY,59591.0,59472.41779967286,59887.45550081784,0
2026-06-29 03:45:00,SELL,59249.0,59530.330410113114,58545.67397471722,0
2026-06-29 14:50:00,BUY,59733.0,59580.228252164496,60114.92936958875,0
2026-06-29 17:15:00,BUY,58985.0,58647.378402088165,59829.05399477959,0
2026-06-30 03:30:00,BUY,59853.5,59731.315485889165,60158.961285277095,0
2026-07-03 11:55:00,BUY,61541.5,61391.07909489823,61992.7627153053,0
2026-07-03 18:40:00,BUY,61919.0,61694.02935974377,62593.91192076868,0
2026-07-03 11:55:00,BUY,62812.42,62661.99909489823,63263.6827153053,0
2026-07-05 09:20:00,SELL,62708.16,62799.185637717215,62435.08308684837,0
2026-07-28 21:00:00,SELL,63612.5,63813.66708388094,63008.9987483572,0
2026-07-28 23:05:00,SELL,63885.0,64051.02987873609,63386.91036379173,0
2026-07-29 15:35:00,SELL,64299.19,64431.9333675061,63900.959897481705,0
2026-07-29 17:00:00,SELL,64592.0,64842.29019481575,63841.12941555274,0
2026-07-30 05:40:00,BUY,64245.0,64050.41295933306,64828.76112200083,0
